,cities,geocode
62,Osasco/SP,3534401
63,Palmas/TO,1721000
64,Propriá/SE,2805703
65,Sapiranga/RS,4319901
66,Sobral/CE,2312908
67,São José do Rio Preto/SP,3549805
68,São José dos Campos/SP,3549904
69,Tubarão/SC,4218707
70,Alvorada/RS,4300604
71,Bagé/RS,4301602
72,Erechim/RS,4307005
73,Farroupilha/RS,4307906
74,Itabuna/BA,2914802
75,Linhares/ES,3203205
76,Miguel Pereira/RJ,3302908
77,Sidrolândia/MS,5007901
78,Suzano/SP,3552502
79,São José/SC,4216602
80,Taquara/RS,4321204
81,Taubaté/SP,3554102
82,Teresina/PI,2211001
83,Vargem Grande Paulista/SP,3556453
84,Vila Velha/ES,3205200
85,Vitória/ES,3205309
86,Bento Gonçalves/RS,4302105
87,Cachoeiro de Itapemirim/ES,3201209
88,Camaçari/BA,2905701
89,Cariacica/ES,3201308
90,Chapecó/SC,4204202
91,Criciúma/SC,4204608
92,Cuiabá/MT,5103403
93,Fortim/CE,2304459
94,Guaíra/PR,4108809
95,Hortolândia/SP,3519071
96,Imbituba/SC,4207304
97,Ivoti/RS,4310801
98,Jaraguá do Sul/SC,4208906
99,Ji-Paraná/RO,1100122
100,Juazeiro do Norte/CE,2307304
101,Macapá/AP,1600303
102,Mariana/MG,3140001
103,Mogi das Cruzes/SP,3530607
104,Navegantes/SC,4211306
105,Parnamirim/RN,2403251
106,Pomerode/SC,4213203
107,Poços de Caldas/MG,3151800
108,Sant'Ana do Livramento/RS,4317103
109,São Luís/MA,2111300
110,Uberaba/MG,3170107
111,Boa Vista/RR,1400100
112,Canoas/RS,4304606
113,Carlos Barbosa/RS,4304804
114,Charqueadas/RS,4305355
115,Dois Irmãos/RS,4306403
116,Eldorado do Sul/RS,4306767
117,Estrela/RS,4307807
118,Gravatal/SC,4206207
119,Itajaí/SC,4208203
120,Jaguaruna/SC,4208807
121,Lajeado/RS,4311403
122,Mossoró/RN,2408003
123,Nossa Senhora da Glória/SE,2804508
124,Pato Branco/PR,4118501
125,Petrópolis/RJ,3303906
126,Ponta Grossa/PR,4119905
127,Ponta Porã/MS,5006606
128,Porto Velho/RO,1100205
129,Serafina Corrêa/RS,4320404
130,São Leopoldo/RS,4318705
131,Torres/RS,4321501
132,Umuarama/PR,4128104
133,Barreiras/BA,2903201
134,Blumenau/SC,4202404
135,Catalão/GO,5205109
136,Conceição do Jacuípe/BA,2908507
137,Estância Velha/RS,4307609
138,Lages/SC,4209300
139,Santa Maria/RS,4316907
140,Santo Antônio da Patrulha/RS,4317608
141,Betim/MG,3106705
142,Bom Despacho/MG,3107406
143,Brumado/BA,2904605
144,Campos Altos/MG,3111507
145,Capão da Canoa/RS,4304630
146,Caruaru/PE,2604106
147,Cascavel/PR,4104808
148,Contagem/MG,3118601
149,Cruzeiro do Sul/RS,4306205
150,Gaspar/SC,4205902
151,Igaracy/PB,2502607
152,Jequié/BA,2918001
153,Juazeiro/BA,2918407
154,Lagoa da Prata/MG,3137205
155,Marabá/PA,1504208
156,Osório/RS,4313508
157,Petrolina/PE,2611101
158,Porto Belo/SC,4213500
159,Rio Grande/RS,4315602
160,Santa Teresa/ES,3204609
161,Santiago/RS,4317400
162,Serra/ES,3205002
163,São Gonçalo/RJ,3304904
164,Timóteo/MG,3168705
165,Viamão/RS,4323002
166,Várzea Grande/MT,5108402
167,Anta Gorda/RS,4300703
168,Bonfim/RR,1400159
169,Camaquã/RS,4303509
170,Campos dos Goytacazes/RJ,3301009
171,Conde/BA,2908606
172,Duque de Caxias/RJ,3301702
173,Garibaldi/RS,4308607
174,Laguna/SC,4209409
175,Mauriti/CE,2308104
176,Nova Monte Verde/MT,5108956
177,Paranavaí/PR,4118402
178,Paraí/RS,4314001
179,Teixeira de Freitas/BA,2931350
180,Telêmaco Borba/PR,4127106
181,Tijucas/SC,4218004
182,Valparaíso de Goiás/GO,5221858
183,Volta Redonda/RJ,3306305
184,Ananindeua/PA,1500800
185,Camboriú/SC,4203204
186,Campo Mourão/PR,4104303
187,Canarana/BA,2906204
188,Canelinha/SC,4203709
189,Cerro Grande do Sul/RS,4305173
190,Dom Pedrito/RS,4306601
191,Embu das Artes/SP,3515004
192,Faxinal/PR,4107603
193,Gravataí/RS,4309209
194,Ilhéus/BA,2913606
195,Iracemápolis/SP,3521408
196,Jundiaí/SP,3525904
197,Luziânia/GO,5212501
198,Pelotas/RS,4314407
199,Porto Real do Colégio/AL,2707503
200,Poá/SP,3539806
201,Resende/RJ,3304201
202,Ribeirão Pires/SP,3543303
203,Rio Claro/SP,3543907
204,Silvânia/GO,5220603
205,São Domingos/BA,2928950
206,São Ludgero/SC,4217006
207,São Sebastião/SP,3550704
208,Taboão da Serra/SP,3552809
209,Valença/RJ,3306107
210,Valinhos/SP,3556206
211,Alagoinhas/BA,2900702
212,Arujá/SP,3503901
213,Boa Esperança/MG,3107109
214,Boca do Acre/AM,1300706
215,Castanhal/PA,1502400
216,Castelo/ES,3201407
217,Governador Valadares/MG,3127701
218,Itaituba/PA,1503606
219,Itapema/SC,4208302
220,Louveira/SP,3527306
221,Mairiporã/SP,3528502
222,Marau/RS,4311809
223,Nova Palma/RS,4313102
224,Passo Fundo/RS,4314100
225,Piratini/RS,4314605
226,Ribeirão Preto/SP,3543402
227,Rolante/RS,4316006
228,Siderópolis/SC,4217600
229,São João del Rei/MG,3162500
230,Tatuí/SP,3554003
231,Timbé do Sul/SC,4218103
232,Araguaína/TO,1702109
233,Batayporã/MS,5002001
234,Cachoeira do Sul/RS,4303004
235,Camaragibe/PE,2603454
236,Campina Grande/PB,2504009
237,Campo Belo/MG,3111200
238,Carmo do Cajuru/MG,3114204
239,Diadema/SP,3513801
240,Goiana/PE,2606200
241,Guarapuava/PR,4109401
242,Guimarânia/MG,3128907
243,Hidrolândia/GO,5209705
244,Ipiaú/BA,2913903
245,Iretama/PR,4110805
246,Itaboraí/RJ,3301900
247,Manacapuru/AM,1302504
248,Maranguape/CE,2307700
249,Rio Negro/PR,4122305
250,Rio Verde de Mato Grosso/MS,5007406
251,Sabará/MG,3156700
252,Santa Rosa/RS,4317202
253,Sorocaba/SP,3552205
254,Sousa/PB,2516201
255,São José do Divino/PI,2210052
256,São Lourenço do Oeste/SC,4216909
257,São Roque do Canaã/ES,3204955
258,União da Vitória/PR,4128203
259,Açu/RN,2400208
260,Brusque/SC,4202909
261,Caicó/RN,2402006
262,Canguçu/RS,4304507
263,Caucaia/CE,2303709
264,Dourados/MS,5003702
265,Goianésia/GO,5208608
266,Guarapari/ES,3202405
267,Itagibá/BA,2915205
268,Itapemirim/ES,3202801
269,Macaíba/RN,2407104
270,Mangaratiba/RJ,3302601
271,Mariópolis/PR,4115309
272,Monte Alegre/RN,2407807
273,Nova Iguaçu/RJ,3303500
274,Papanduva/SC,4212205
275,Parauapebas/PA,1505536
276,Parnaíba/PI,2207702
277,Passa e Fica/RN,2409100
278,Quatiguá/PR,4120705
279,Quixadá/CE,2311306
280,São Francisco do Sul/SC,4216206
281,São Gonçalo do Amarante/RN,2412005
282,São José de Mipibu/RN,2412203
283,São Lourenço da Mata/PE,2613701
284,Tibau/RN,2411056
285,Urussanga/SC,4219002
286,Águas Lindas de Goiás/GO,5200258
287,Acrelândia/AC,1200013
288,Castro/PR,4104907
289,Contenda/PR,4106209
290,Extrema/MG,3125101
291,Indaial/SC,4207502
292,Itacoatiara/AM,1301902
293,Itaitinga/CE,2306256
294,Itamaraju/BA,2915601
295,Itororó/BA,2917102
296,Maracanaú/CE,2307650
297,Marechal Cândido Rondon/PR,4114609
298,Medianeira/PR,4115804
299,Muriaé/MG,3143906
300,Novo Hamburgo/RS,4313409
301,Peabiru/PR,4118808
302,Pojuca/BA,2925204
303,Porto Acre/AC,1200807
304,Rio das Ostras/RJ,3304524
305,Santa Luzia/MG,3157807
306,Seropédica/RJ,3305554
307,Serra do Salitre/MG,3166808
308,São José dos Pinhais/PR,4125506
309,São Mateus/ES,3204906
310,Terra Rica/PR,4127304
311,Angra dos Reis/RJ,3300100
312,Apodi/RN,2401008
313,Beberibe/CE,2302206
314,Brodowski/SP,3507803
315,Cajamar/SP,3509205
316,Dias d'Ávila/BA,2910057
317,Itapevi/SP,3522505
318,Itumbiara/GO,5211503
319,Itupeva/SP,3524006
320,Jaru/RO,1100114
321,Luís Gomes/RN,2407005
322,Manhuaçu/MG,3139409
323,Matinhos/PR,4115705
324,Nova Soure/BA,2922904
325,Novo Airão/AM,1303205
326,Palmares/PE,2610004
327,Patos/PB,2510808
328,Paulínia/SP,3536505
329,Penápolis/SP,3537305
330,Pescaria Brava/SC,4212650
331,Piracicaba/SP,3538709
332,Porto Feliz/SP,3540606
333,Rio Bonito/RJ,3304300
334,Rio Branco do Sul/PR,4122206
335,Rondonópolis/MT,5107602
336,Santos/SP,3548500
337,São Pedro/SP,3550407
338,Taquari/RS,4321303
339,Teresópolis/RJ,3305802
340,Unaí/MG,3170404
341,Abaetetuba/PA,1500107
342,Alcinópolis/MS,5000252
343,Alfenas/MG,3101607
344,Alto Rio Novo/ES,3200359
345,Americana/SP,3501608
346,Araçatuba/SP,3502804
347,Barra/BA,2902708
348,Bauru/SP,3506003
349,Cachoeira Paulista/SP,3508603
350,Cachoeirinha/RS,4303103
351,Candeias/BA,2906501
352,Catu/BA,2907509
353,Coaraci/BA,2908002
354,Francisco Beltrão/PR,4108403
355,Franco da Rocha/SP,3516408
356,Guarujá/SP,3518701
357,Ipubi/PE,2607307
358,Itajuípe/BA,2915502
359,Itapecerica da Serra/SP,3522208
360,Itaquaquecetuba/SP,3523107
361,Lapa/PR,4113205
362,Lençóis Paulista/SP,3526803
363,Macaé/RJ,3302403
364,Marituba/PA,1504422
365,Matão/SP,3529302
366,Medeiros Neto/BA,2921104
367,Mogi Guaçu/SP,3530706
368,Nova Andradina/MS,5006200
369,Nova Odessa/SP,3533403
370,Paranaiguara/GO,5216304
371,Pirajuí/SP,3538907
372,Quatro Barras/PR,4120804
373,Salto de Pirapora/SP,3545308
374,Santa Isabel/SP,3546801
375,Santa Quitéria/CE,2312205
376,São Domingos do Sul/RS,4318051
377,São José do Rio Pardo/SP,3549706
378,São Pedro da Aldeia/RJ,3305208
379,São Vicente/SP,3551009
380,Tucuruí/PA,1508100
381,Verê/PR,4128609
382,Viana/ES,3205101
383,Vinhedo/SP,3556701
384,Votorantim/SP,3557006
385,Votuporanga/SP,3557105
386,Afonso Cláudio/ES,3200102
387,Alegrete/RS,4300406
388,Aliança/PE,2600708
389,Aracruz/ES,3200607
390,Araguari/MG,3103504
391,Arapongas/PR,4101507
392,Araucária/PR,4101804
393,Arraial do Cabo/RJ,3300258
394,Assis Chateaubriand/PR,4102000
395,Açailândia/MA,2100055
396,Barcarena/PA,1501303
397,Barra do Rocha/BA,2903102
398,Cabedelo/PB,2503209
399,Caldas Novas/GO,5204508
400,Cambé/PR,4103701
401,Campestre de Goiás/GO,5204607
402,Capitólio/MG,3112802
403,Ceará-Mirim/RN,2402600
404,Cidade Ocidental/GO,5205497
405,Eusébio/CE,2304285
406,Fazenda Rio Grande/PR,4107652
407,Goioerê/PR,4108601
408,Ibaiti/PR,4109708
409,Imperatriz/MA,2105302
410,Indaiatuba/SP,3520509
411,Itanhaém/SP,3522109
412,Lavras/MG,3138203
413,Limeira/SP,3526902
414,Pouso Alegre/MG,3152501
415,Praia Grande/SP,3541000
416,Santarém/PA,1506807
417,São Sebastião do Caí/RS,4319505
418,Tangará da Serra/MT,5107958
419,Tianguá/CE,2313401
420,Trindade/GO,5221403
421,Três Lagoas/MS,5008305
422,Vitória da Conquista/BA,2933307
423,Agudos/SP,3500709
424,Araraquara/SP,3503208
425,Arcos/MG,3104205
426,Assis/SP,3504008
427,Barbacena/MG,3105608
428,Belmonte/BA,2903409
429,Biguaçu/SC,4202305
430,Cantá/RR,1400175
431,Capela/SE,2801306
432,Cornélio Procópio/PR,4106407
433,Dracena/SP,3514403
434,Franca/SP,3516200
435,Francisco Morato/SP,3516309
436,Fundão/ES,3202207
437,Guaíba/RS,4309308
438,Icó/CE,2305407
439,Itaguaí/RJ,3302007
440,Itapajé/CE,2306306
441,Itapipoca/CE,2306405
442,Itararé/SP,3523206
443,Itu/SP,3523909
444,Jaguaribe/CE,2306900
445,Jaú/SP,3525300
446,Joaçaba/SC,4209003
447,Leópolis/PR,4113403
448,Lucas do Rio Verde/MT,5105259
449,Magé/RJ,3302502
450,Mandirituba/PR,4114302
451,Palmeira/PR,4117701
452,Paranaguá/PR,4118204
453,Paulo Lopes/SC,4212304
454,Santa Cruz Cabrália/BA,2927705
455,Santana do Paraíso/MG,3158953
456,Santo Antônio do Monte/MG,3160405
457,Sapucaia do Sul/RS,4320008
458,Sinop/MT,5107909
459,Sooretama/ES,3205010
460,São Gabriel/RS,4318309
461,São Manoel do Paraná/PR,4125555
462,Terra Boa/PR,4127205
463,Toledo/MG,3169109
464,Tramandaí/RS,4321600
465,Uruguaiana/RS,4322400
466,Vila Maria/RS,4323408
467,Águas de Lindóia/SP,3500501
468,Adamantina/SP,3500105
469,Altamira/PA,1500602
470,Araranguá/SC,4201406
471,Araruama/RJ,3300209
472,Araruna/PR,4101705
473,Atibaia/SP,3504107
474,Barra do Piraí/RJ,3300308
475,Baía Formosa/RN,2401404
476,Benevides/PA,1501501
477,Bom Jesus de Goiás/GO,5203500
478,Cabo de Santo Agostinho/PE,2602902
479,Campina Grande do Sul/PR,4104006
480,Campo Maior/PI,2202208
481,Canindé/CE,2302800
482,Caraúbas/RN,2402303
483,Colatina/ES,3201506
484,Cravinhos/SP,3513108
485,Esmeraldas/MG,3124104
486,Farias Brito/CE,2304301
487,Goianésia do Pará/PA,1503093
488,Iguaba Grande/RJ,3301876
489,Ipaporanga/CE,2305654
490,Irati/SC,4207858
491,Itabira/MG,3131703
492,Jaboticabal/SP,3524303
493,Junco do Seridó/PB,2507804
494,Mafra/SC,4210100
495,Marechal Deodoro/AL,2704708
496,Marília/SP,3529005
497,Morro da Fumaça/SC,4211207
498,Nilópolis/RJ,3303203
499,Nova Veneza/GO,5215009
500,Novo Progresso/PA,1505031
501,Palhoça/SC,4211900
502,Paulista/PE,2610707
503,Porciúncula/RJ,3304102
504,Promissão/SP,3541604
505,Santo Antônio/RN,2411502
506,Sarandi/PR,4126256
507,Senador Canedo/GO,5220454
508,Serra Branca/PB,2515500
509,São Geraldo do Araguaia/PA,1507458
510,São José de Ribamar/MA,2111201
511,São Luís de Montes Belos/GO,5220108
512,Três Rios/RJ,3306008
513,Utinga/BA,2932804
514,Adustina/BA,2900355
515,Alta Floresta/MT,5100250
516,Botucatu/SP,3507506
517,Cachoeira/BA,2904902
518,Campo Novo do Parecis/MT,5102637
519,Carmo da Cachoeira/MG,3113909
520,Cedral/SP,3511300
521,Chopinzinho/PR,4105409
522,Dianópolis/TO,1707009
523,Gandu/BA,2911204
524,Guaraniaçu/PR,4109302
525,Guararapes/SP,3518206
526,Horizonte/CE,2305233
527,Ibema/PR,4109757
528,Itabaiana/SE,2802908
529,Itapetinga/BA,2916401
530,Itapira/SP,3522604
531,Itapiranga/SC,4208401
532,José Bonifácio/SP,3525706
533,Nanuque/MG,3144300
534,Nova Friburgo/RJ,3303401
535,Nova Mutum/MT,5106224
536,Oiapoque/AP,1600501
537,Orlândia/SP,3534302
538,Palmas/PR,4117602
539,Paraíba do Sul/RJ,3303708
540,Pariquera-Açu/SP,3536208
541,Patos de Minas/MG,3148004
542,Pedras Grandes/SC,4212403
543,Pinhão/PR,4119301
544,Rolândia/PR,4122404
545,Santa Branca/SP,3546009
546,Simões Filho/BA,2930709
547,Sombrio/SC,4217709
548,São Manuel/SP,3550100
549,Timon/MA,2112209
550,Uruçuca/BA,2932705
551,Varginha/MG,3170701
552,Aracati/CE,2301109
553,Areia Branca/RN,2401107
554,Arroio do Sal/RS,4301057
555,Balsa Nova/PR,4102307
556,Cariús/CE,2303303
557,Chapadão do Sul/MS,5002951
558,Esteio/RS,4307708
559,Ibirataia/BA,2912905
560,Iguatu/CE,2305506
561,Ipueiras/CE,2305902
562,Iranduba/AM,1301852
563,Itaperuna/RJ,3302205
564,Itapetininga/SP,3522307
565,Itarantim/BA,2916807
566,Janaúba/MG,3135100
567,Limoeiro do Norte/CE,2307601
568,Novo Oriente/CE,2309409
569,Ouriçangas/BA,2923308
570,Pacatuba/CE,2309706
571,Palmeiras/BA,2923506
572,Paracatu/MG,3147006
573,Paraisópolis/MG,3147303
574,Pedra Branca/CE,2310506
575,Pindoretama/CE,2310852
576,Piripá/BA,2924702
577,Quixeramobim/CE,2311405
578,Rolim de Moura/RO,1100288
579,Sananduva/RS,4316600
580,Santa Cruz do Sul/RS,4316808
581,Santa Fé/PR,4123402
582,Santa Maria da Vitória/BA,2928109
583,Santana/AP,1600600
584,Sarzedo/MG,3165537
585,Sertaneja/PR,4126405
586,São Domingos/SC,4216107
587,São Jorge/RS,4318440
588,São João da Barra/RJ,3305000
589,Taipu/RN,2413904
590,Tanguá/RJ,3305752
591,Tenente Ananias/RN,2414100
592,Terra Roxa/SP,3554409
593,Trajano de Moraes/RJ,3305901
594,Vilhena/RO,1100304
595,Amontada/CE,2300754
596,Aripuanã/MT,5101407
597,Bandeirantes/PR,4102406
598,Barra do Choça/BA,2902906
599,Birigui/SP,3506508
600,Boituva/SP,3507001
601,Cachoeirinha/PE,2603108
602,Cajapió/MA,2102408
603,Cambuí/MG,3110608
604,Cametá/PA,1502103
605,Campo Formoso/BA,2906006
606,Canarana/MT,5102702
607,Caraguatatuba/SP,3510500
608,Catarina/CE,2303600
609,Centralina/MG,3115805
610,Crateús/CE,2304103
611,Croatá/CE,2304236
612,Cáceres/MT,5102504
613,Divinésia/MG,3121902
614,Formiga/MG,3126109
615,Frutal/MG,3127107
616,Guaraciaba do Norte/CE,2305001
617,Ibiraçu/ES,3202504
618,Ibotirama/BA,2913200
619,Ilha Comprida/SP,3520426
620,Jeceaba/MG,3135407
621,Lagoa do Carro/PE,2608453
622,Lavras da Mangabeira/CE,2307502
623,Machado/MG,3139003
624,Matozinhos/MG,3141108
625,Minas do Leão/RS,4312252
626,Mirassol/SP,3530300
627,Montes Claros/MG,3143302
628,Ouro Fino/MG,3146008
629,Palmeira dos Índios/AL,2706307
630,Paudalho/PE,2610608
631,Piracuruca/PI,2208304
632,Plácido de Castro/AC,1200385
633,Presidente Venceslau/SP,3541505
634,Primeiro de Maio/PR,4120507
635,Santa Cruz do Rio Pardo/SP,3546405
636,Santana do Acaraú/CE,2312007
637,Santo Amaro da Imperatriz/SC,4215703
638,Senador Amaral/MG,3165578
639,Senador Pompeu/CE,2312700
640,São Carlos/SP,3548906
641,São Francisco do Conde/BA,2929206
642,São José dos Quatro Marcos/MT,5107107
643,São Lourenço do Sul/RS,4318804
644,Tabaí/RS,4320859
645,Timbó/SC,4218202
646,Ubá/MG,3169901
647,União do Sul/MT,5108303
648,Videira/SC,4219309
649,Águas Mornas/SC,4200606
650,Alto Alegre/RR,1400050
651,Anita Garibaldi/SC,4201000
652,Araras/SP,3503307
653,Barretos/SP,3505500
654,Bebedouro/SP,3506102
655,Boa Esperança/ES,3201001
656,Bom Jardim/PE,2602209
657,Bom Jardim/RJ,3300506
658,Botelhos/MG,3108404
659,Bragança Paulista/SP,3507605
660,Cabo Frio/RJ,3300704
661,Cascavel/CE,2303501
662,Casimiro de Abreu/RJ,3301306
663,Catanduva/SP,3511102
664,Catende/PE,2604205
665,Chapada dos Guimarães/MT,5103007
666,Corumbá/MS,5003207
667,Encantado/RS,4306809
668,Harmonia/RS,4309555
669,Ibiúna/SP,3519709
670,Igarassu/PE,2606804
671,Itapeva/MG,3133600
672,Itatiba/SP,3523404
673,Japeri/RJ,3302270
674,Macaparana/PE,2609006
675,Monte Alto/SP,3531308
676,Moreno/PE,2609402
677,Nova Glória/GO,5214861
678,Nova Venécia/ES,3203908
679,Pareci Novo/RS,4314035
680,Peruíbe/SP,3537602
681,Pindamonhangaba/SP,3538006
682,Piumhi/MG,3151503
683,Porto Real/RJ,3304110
684,Primavera do Leste/MT,5107040
685,Quatis/RJ,3304128
686,Quitandinha/PR,4121208
687,Salgueiro/PE,2612208
688,Salto/SP,3545209
689,Sangão/SC,4215455
690,Santa Inês/MA,2109908
691,Santa Rita/PB,2513703
692,Santo Antônio do Tauá/PA,1507003
693,Sapucaia/RJ,3305406
694,Simão Dias/SE,2807105
695,Sonora/MS,5007935
696,Sumaré/SP,3552403
697,São Benedito do Rio Preto/MA,2110401
698,São Roque/SP,3550605
699,Timbaúba/PE,2615300
700,Tupandi/RS,4322251
701,Vianópolis/GO,5222005
702,Vitorino/PR,4128708
703,Vitória de Santo Antão/PE,2616407
704,Alpercata/MG,3101805
705,Araci/BA,2902104
706,Arcoverde/PE,2601201
707,Arroio dos Ratos/RS,4301107
708,Avaré/SP,3504503
709,Bady Bassitt/SP,3504602
710,Batatais/SP,3505906
711,Bayeux/PB,2501807
712,Bela Vista de Goiás/GO,5203302
713,Bujari/AC,1200138
714,Carangola/MG,3113305
715,Caçapava/SP,3508504
716,Colinas/MA,2103505
717,Conceição do Coité/BA,2908408
718,Euclides da Cunha/BA,2910701
719,Forquilhinha/SC,4205456
720,Glorinha/RS,4309050
721,Goiandira/GO,5208509
722,Goiatuba/GO,5209101
723,Gongogi/BA,2911501
724,Guapó/GO,5209200
725,Guararema/SP,3518305
726,Gurupi/TO,1709500
727,Icapuí/CE,2305357
728,Icatu/MA,2105104
729,Ipaba/MG,3131158
730,Itagi/BA,2915106
731,Itaiçaba/CE,2306207
732,Itatim/BA,2916856
733,Ivaiporã/PR,4111506
734,Jacareí/SP,3524402
735,Jales/SP,3524808
736,Joanópolis/SP,3525508
737,Lambari D'Oeste/MT,5105234
738,Laranjal Paulista/SP,3526407
739,Manicoré/AM,1302702
740,Mococa/SP,3530508
741,Mombaça/CE,2308500
742,Montividiu/GO,5213756
743,Olímpia/SP,3533908
744,Ouro Preto do Oeste/RO,1100155
745,Pacatuba/SE,2804904
746,Passira/PE,2610509
747,Pindorama/SP,3538105
748,Pires do Rio/GO,5217401
749,Presidente Figueiredo/AM,1303536
750,Presidente Prudente/SP,3541406
751,Rio das Flores/RJ,3304508
752,Serrinha/BA,2930501
753,Sertãozinho/SP,3551702
754,São Bento do Sul/SC,4215802
755,São João Nepomuceno/MG,3162906
756,São João do Ivaí/PR,4125001
757,Tanabi/SP,3553401
758,Tangará/SC,4217907
759,Toledo/PR,4127700
760,Urbano Santos/MA,2112605
761,Vacaria/RS,4322509
762,Vazante/MG,3171006
763,Venda Nova do Imigrante/ES,3205069
764,Abreu e Lima/PE,2600054
765,Anhanguera/GO,5201207
766,Artur Nogueira/SP,3503802
767,Aurora/SC,4201901
768,Balneário Piçarras/SC,4212809
769,Barra Velha/SC,4202107
770,Barra do Turvo/SP,3505401
771,Bom Retiro do Sul/RS,4302402
772,Borda da Mata/MG,3108305
773,Campina da Lagoa/PR,4103909
774,Cantagalo/RJ,3301108
775,Capoeiras/PE,2603801
776,Carpina/PE,2604007
777,Caçador/SC,4203006
778,Cidreira/RS,4305454
779,Cocal do Sul/SC,4204251
780,Eldorado/SP,3514809
781,Frei Miguelinho/PE,2605806
782,Garanhuns/PE,2606002
783,Garopaba/SC,4205704
784,Guaramirim/SC,4206504
785,Guaratinguetá/SP,3518404
786,Itanhandu/MG,3133105
787,Itapebi/BA,2916302
788,Itapeva/SP,3522406
789,Itatinga/SP,3523503
790,Ituberá/BA,2917300
791,Jaci/SP,3524501
792,João Alfredo/PE,2608107
793,João Monlevade/MG,3136207
794,Limoeiro/PE,2608909
795,Manoel Ribas/PR,4114500
796,Massaranduba/SC,4210605
797,Montenegro/RS,4312401
798,Mário Campos/MG,3140159
799,Orleans/SC,4211702
800,Paraty/RJ,3303807
801,Pará de Minas/MG,3147105
802,Paty do Alferes/RJ,3303856
803,Pombos/PE,2611309
804,Rio Negrinho/SC,4215000
805,Santa Luzia/BA,2928059
806,Santa Maria de Itabira/MG,3158003
807,Sumidouro/RJ,3305703
808,São João da Boa Vista/SP,3549102
809,Ubatã/BA,2932309
810,Vidal Ramos/SC,4219200
811,Várzea Alegre/CE,2314003
812,Araçoiaba da Serra/SP,3502903
813,Ariquemes/RO,1100023
814,Bom Conselho/PE,2602100
815,Bom Jesus do Itabapoana/RJ,3300605
816,Cachoeira Grande/MA,2102374
817,Cachoeiras de Macacu/RJ,3300803
818,Camacan/BA,2905602
819,Cansanção/BA,2906808
820,Cantanhede/MA,2102705
821,Chapadinha/MA,2103208
822,Crato/CE,2304202
823,Cubatão/SP,3513504
824,Independência/CE,2305605
825,Ipojuca/PE,2607208
826,Itajubá/MG,3132404
827,Itapecerica/MG,3133501
828,Itatiaia/RJ,3302254
829,Jaguaquara/BA,2917607
830,Marumbi/PR,4115507
831,Nova Trento/SC,4211504
832,Ourinhos/SP,3534708
833,Paiçandu/PR,4117503
834,Paracambi/RJ,3303609
835,Pedra Bela/SP,3536802
836,Pirapora/MG,3151206
837,Porto Ferreira/SP,3540705
838,Professor Jamil/GO,5218391
839,Quixeré/CE,2311504
840,Rio do Pires/BA,2926905
841,Russas/CE,2311801
842,Santa Bárbara d'Oeste/SP,3545803
843,Sarandi/RS,4320107
844,Senador Sá/CE,2312809
845,Serra Talhada/PE,2613909
846,São Caitano/PE,2613107
847,São Francisco de Itabapoana/RJ,3304755
848,São Gabriel da Palha/ES,3204708
849,São Lourenço/MG,3163706
850,São Luís do Curu/CE,2312601
851,São Miguel Arcanjo/SP,3550209
852,Tabuleiro do Norte/CE,2313104
853,Tupã/SP,3555000
854,Viana/MA,2112803
855,Águas de São Pedro/SP,3500600
856,Acará/PA,1500206
857,Amparo/SP,3501905
858,Américo Brasiliense/SP,3501707
